브랜드명,제품명,기능성상태,용량,가격,할인가격,구매링크,전성분,주성분(홍보성분),제형,사용방식,주요목적,pH,자극도,각질타입,알코올,향료,수렴성(모공 작아지는),피지조절,주요성분,흡수속도,레이어링,광민감성,사용빈도,피부타입메모,,,,
,코스노리 판테놀 베리어 토너,"미백,주름개선",410,"68,000","28,000",https://www.hwahae.co.kr/goods/%EC%BD%94%EC%8A%A4%EB%85%B8%EB%A6%AC-only%ED%99%94%ED%95%B4-%ED%8C%90%ED%85%8C%EB%86%80-%EB%B2%A0%EB%A6%AC%EC%96%B4-%ED%86%A0%EB%84%88-205ml-%EB%8D%94%EB%B8%94%EA%B8%B0%ED%9A%8D-PLUS%ED%8C%90%ED%85%8C%EB%86%80-%EC%95%B0%ED%94%8C-30ml-%EC%A6%9D%EC%A0%95/74958?goods_tab=goods_info,"정제수, 부틸렌글라이콜, 판테놀, 다이프로필렌글라이콜, 글리세레스-26, 나이아신아마이드, 1,2-헥산다이올, 카카오캘러스추출물, 병풀추출물, 아시아티코사이드, 마데카소사이드, 세라마이드엔피, 알룰레인아마추출물, 피치아이엑추출물, 귀리가루추출물, 락토바실러스/콩발효추출물, 락토바실러스/인삼뿌리발효여과물, 효모/율무씨발효여과물, 효모/감자추출물발효여과물, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 당박나무잎오일, 아시아틱애씨드, 디포타슘글리시리제이트, 락토바이오닉애씨드, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드록시아세토페논, 시트린, 프로판다이올, 소듐시트레이트, 베타인, 글리세린, 시트릭애씨드, 소듐폴리아크릴로일다이메틸타우레이트, 하이드록시프로필트라이모늄하이알루로네이트, 아데노신, 펜틸렌글라이콜, 카프릴릭/카프릭트라이글리세라이드, 에틸헥실글리세린","판테놀,카카두플럼 추출물, 시카, 히알루론산",medium(콧물까지는 아님),,"장벽,미백,보습",약산성,,,FALSE,FALSE,none,medium,"niacinamide, centella, ceramide, panthenol, hyaluronic_acid",medium,fair,TRUE,daily,,,,,
,더랩바이블랑두 올리고 히알루론산 딥 토너,x,500ml,"37,000원",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207054,"정제수, 부틸렌글라이콜, 1,2-헥산다이올, 글리세린, 베타-글루칸, 베타인, 소듐하이알루로네이트(2,700 ppm), 판테놀, 솔비톨, 아세틸글루코사민, 글루쿠로닉애씨드, 알란토인, 토코페롤, 에틸헥실글리세린, 다이소듐이디티에이",저분자 히알루론산,워터,,보습,미산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol",fast,good,FALSE,daily,,,,,
,이플미 하이드라 셀 부스팅 토너,x,400ml,"34,000","14,200",https://www.hwahae.co.kr/goods/71966?srsltid=AfmBOoqfUpf26eZGnreE8EcvBKU6FJTtYE2vumGcZPZoa2WSEMcP3BSb,"전성분 정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 하이드록시아세토페논, 알란토인, 카보머, 알지닌, 다이소듐이디티에이, 녹차추출물, 소듐하이알루로네이트, 나이아신아마이드, 하이드로제네이티드레시틴, 하이드롤라이즈드하이알루로닉애씨드, 하이드롤라이즈드글리코사미노글리칸, 레불리닉애씨드, 베타인, 베타-아인, 소듐하이알루로네이트크로스폴리머, 소듐아세틸레이티드하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 바이오틴, 사이아노코발아민, 아스코빅애씨드, 다이아미노피리미딘옥사이드, 피리독신, 바이오틴오일복합노이드","히알루론산, 알란토인,녹차,판테놀",워터,,"진정,보습",약산성,,,FALSE,FALSE,none,medium,"glycerin, hyaluronic_acid, niacinamide, green_tea",fast,good,FALSE,daily,,,,,
,라운드랩 소나무 진정 시카 토너,x,250ml,"23,000원",19900,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000184790,"정제수, 프로판다이올, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 소나무잎추출물 (5,010ppm), 에틸헥실글리세린, 병풀추출물 (60.6ppm), 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 글라이코프로테인 (1.002ppm), 글루코노락톤, 카프릴로일살리실릭애씨드, 소듐시트레이트, 하이드록시아세토페논, 아시아티코사이드 (0.0501ppm), 아시아틱애씨드 (0.0501ppm), 마데카소사이드 (0.0501ppm), 마데카식애씨드 (0.0501ppm), 다이소듐이디티에이, 시트릭애씨드","소나무 추출물, 시카, LHA,PHA, 히알루론산",워터,,"진정,보습",약산성,,,FALSE,FALSE,none,medium,"glycerin, hyaluronic_acid, centella",fast,good,TRUE,daily,,,,,
,비플레인 녹두 모공 클리어링 LHA 토너,x,265ml,24000,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212908,"정제수, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 솔비톨, 하이드록시아세토페논, 프로판다이올, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 소듐시트레이트, 시트릭애씨드, 다이소듐이디티에이, 메틸다이아이소프로필프로피온아마이드, 녹두추출물(200ppm), 잔탄검, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 카프릴로일살리실릭애씨드(10ppm), 글루코노락톤, 녹두씨추출물(5ppm), 글루코오스, 사과추출물, 밤껍질추출물, 감나무잎추출물, 파파인, 유채싹추출물, 브루셀스프라우트추출물, 해바라기싹추출물, 녹두싹추출물(0.1ppm), 밀싹추출물, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 헥사펩타이드-9, 노나펩타이드-1, 팔미토일헥사펩타이드-12, 팔미토일펜타펩타이드-4, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 펜타펩타이드-3, 트라이펩타이드-1","녹두펩타이드, LHA, AHA, PHA",워터,,"각질 제거,진정",약산성,,,FALSE,FALSE,none,medium,"glycerin, hyaluronic_acid, peptide",medium,fair,TRUE,daily,,,,,
,조선미녀 청매실 AHA BHA 토너,x,150ml,18000,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204454,"정제수, 매실수(25.0 %), 다이프로필렌글라이콜, 글리세린, 글라이콜릭애씨드(2.0 %), 부틸렌글라이콜, 트로메타민, 1,2-헥산다이올, 살리실릭애씨드(0.5 %), 하이드록시아세토페논, 옥틸도데세스-16, C12-14파레스-12, 에틸헥실글리세린, 녹두추출물, 다이소듐이디티에이, 잔탄검, 인도멀구슬나무잎추출물, 인도멀구슬나무꽃추출물, 아이비고드열매추출물, 홀리바질잎추출물, 울금뿌리추출물, 알로에베라꽃추출물, 가지열매추출물, 참산호말추출물","AHA, BHA",워터,,"각질제거,피지케어",미산성,,,FALSE,FALSE,none,medium,"glycerin, aloe",fast,good,TRUE,weekly_1_3,,,,,
,마녀공장 판테토인 에센스 토너,x,200ml,"21,000",,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199405,"정제수, 다이프로필렌글라이콜, 글리세린, 1,2-헥산다이올, 메틸프로판다이올, 네오펜틸글라이콜다이에틸헥사노에이트, 부틸렌글라이콜, 펜틸렌글라이콜, 폴리글리세릴-3메틸글루코오스다이스테아레이트, 베타인, 판테놀(4,000ppm), 하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머, 폴리글리세릴-10라우레이트, 폴리글리세릴-10미리스테이트, 카프릴릴글라이콜, 퀸즈랜드넛오일, 엑토인(1,000ppm), 다이페닐다이메티콘, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 트라이에틸헥사노인, 하이드록시페닐프로파미도벤조익애씨드, 트로메타민, 세라마이드엔피, 피토스핑고신, 솔비탄아이소스테아레이트, 하이드로제네이티드레시틴, 백미꽃추출물, 아스코빌팔미테이트, 에틸헥실글리세린, 접시꽃추출물, 스쿠알란, 알란토인, 하이드롤라이즈드하이알루로닉애씨드, 칸디다 봄비콜라/글루코오스/메틸레이프씨데이트발효물, 해바라기씨오일, 프로판다이올, 소듐클로라이드, 소듐바이카보네이트, 칼슘클로라이드, 포타슘클로라이드","판테놀,엑토인",점도,,"보습, 진정",미산성,,,FALSE,FALSE,none,none,"glycerin, panthenol, ceramide, hyaluronic_acid",medium,fair,FALSE,daily,,,,,
,리얼베리어 익스트림 에센스 토너,x,300ml,"25,000원",17500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199652,"정제수, 글리세린, 프로판다이올, 다이메티콘, 해바라기씨오일, 글리세릴스테아레이트, 자일리톨, 소듐하이알루로네이트크로스폴리머, 하이드롤라이즈드글라이코사미노글리칸, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 하이알루로닉애씨드, 부틸렌글라이콜, 솔비탄라우레이트, 하이드록시에틸셀룰로오스, 아세틸다이펩타이드-1세틸에스터, 판테놀, 베타-글루칸, 마데카소사이드, 미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이, 세라마이드엔피, 비스-카프릴로일옥시팔미타미도아이소프로판올, 자일리틸글루코사이드, 안하이드로자일리톨, 글루코오스, 알란토인, 폴리글리세릴-4카프레이트, 하이드록시프로필메틸셀룰로오스, 카보머, 소듐폴리아크릴레이트, 카프릴릭애씨드, 라즈베리케톤, 에틸헥실글리세린, 소듐파이테이트, 벤질글라이콜, 카프릴릴글라이콜, 1,2-헥산다이올, 스피어민트잎오일, 스피어민트추출물, 필리핀오렌지껍질오일, 센티드제라늄꽃오일, 타임오일, 유칼립투스잎오일, 바추잎잎추출물","세라마이드, 히알루론산, 판테놀, 마데카소사이드, 알라토인",점도,,보습,약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol, centella, ceramide",medium,fair,FALSE,daily,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
