브랜드명,제품명,기능성상태,용량,가격,할인가격,구매링크,전성분,주성분(홍보성분),제형,사용방식,주요목적,pH,자극도,각질타입,알코올,향료,수렴성(모공 작아지는),피지조절,주요성분,흡수속도,레이어링,광민감성,사용빈도,피부타입메모,,,,
,파티온 포도당 하이드로 에센스 토너,x,600ml,"32,000원",22500,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222849,"정제수, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 에리스리톨, 자일리톨, 트레할로오스, 알지닌, 카보머, 에틸헥실글리세린, 하이드롤라이즈드스클레로튬검, 다이소듐이디티에이, 카프릴릭/카프릭트라이글리세라이드, 시어버터, 올리브오일, 하이드로제네이티드레시틴, 스쿠알란, 글리세릴글루코사이드, 프로판다이올, 콜레스테롤, 세라마이드엔피, 피토스핑고신, 토코페롤, 판테놀, 글루코오스(100 ppb), 벤질글라이콜, 하이드롤라이즈드글라이코사미노글리칸, 하이드록시프로필트라이모늄하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 시스테인, 글루타믹애씨드, 류신, 세린, 아스파틱애씨드, 글루타민, 알라닌, 트레오닌, 트립토판, 발린, 라이신, 글라이신, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 메티오닌, 프롤린, 히스티딘, 아이소류신, 페닐알라닌, 아스파라진, 타이로신, 하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 마그네슘피씨에이, 소듐락테이트, 카퍼트라이펩타이드-1, 수크로오스, 우레아, 칼슘클로라이드, 포타슘하이드록사이드, 오르니틴, 씨솔트, 마그네슘클로라이드, 다이포타슘포스페이트, 마그네슘시트레이트, 글루코사민에이치씨엘, 1-메틸하이단토인-2-이미드, 시트룰린, 우릭애씨드, 타우린, 포믹애씨드, 암모니아","포도당, 히알루론산, 판테놀, 아미노산",점도,이런 얘기가 없네,hydration,약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, panthenol, ceramide, peptide",medium,fair,FALSE,daily,,,,,
,브링그린 티트리 시카 수딩 토너,x,250ml,"15,000원",13200,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189181,"정제수, 다이프로필렌글라이콜, 1,2-헥산다이올, 부틸렌글라이콜, 티트리추출물, 티트리잎수, 베타인, 판테놀, 티트리잎추출물, 옥틸도데세스-16, 소듐시트레이트, 시트릭애씨드, 티트리잎오일, 티트리꽃/잎/줄기추출물, 베타인살리실레이트, 병풀추출물, 잔탄검",,워터,"닥토,흡토,팩토,미스트","exfoliation, balancing",약산성,,,FALSE,FALSE,low,high,"tea_tree, centella, panthenol",fast,good,TRUE,daily,,,,,
,바이오더마 하이드라비오 토너,x,250ml,"29,500원",19200,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000004434,"정제수, 글리세린, 폴리솔베이트20, 다이소듐이디티에이, 세트리모늄브로마이드, 나이아신아마이드, 자일리톨, 알란토인, 프룩토올리고사카라이드, 만니톨, 헥실데칸올, 소듐하이드록사이드, 시트릭애씨드, 람노오스, 사과씨추출물, 유채스테롤, 토코페롤, 향료료","하이드라비오, 다프, 아쿠아지니움",워터,"닥토,팩토","hydration, barrier",,,,FALSE,TRUE,none,medium,"glycerin, niacinamide",fast,good,FALSE,daily,,,,,
,디오디너리 글리코릭 애시드 7% 엑스폴리에이팅 토너,x,240ml,16900,,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223625,"정제수, 글라이콜릭애씨드(7%), 다마스크장미꽃수, 수레국화꽃수, 알로에베라잎수, 프로판다이올, 글리세린, 트라이에탄올아민, 아미노메틸프로판올, 인삼추출물, 마운틴페퍼열매추출물, 마운틴페퍼잎추출물, 아스파틱애씨드, 알라닌, 글라이신, 세린, 발린, 아이소류신, 프롤린, 트레오닌, 히스티딘, 페닐알라닌, 글루타믹애씨드, 알지닌, 피씨에이, 소듐피씨에이, 소듐락테이트, 프룩토오스, 글루코오스, 수크로오스, 우레아, 헥실니코티네이트, 덱스트린, 시트릭애씨드, 폴리솔베이트20, 젤란검, 트라이소듐에틸렌다이아민다이석시네이트, 소듐클로라이드, 헥실렌글라이콜, 포타슘솔베이트, 소듐벤조에이트, 1,2-헥산다이올, 카프릴릴글라이콜.","태즈메니안 페퍼베리 추출물, 글리코릭 애시드 7% 엑스폴리에이팅",워터,,"각질 제거,노화 완화, 보습",3.6(강산성?),,,FALSE,FALSE,none,none,"glycerin, aloe, rose_water",fast,good,TRUE,weekly_1_3,,,,,
,닥터지 레드 블레미쉬 10-시카 캡슐 수딩 토너,x,300ml,"30,000원","22,800원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000252322&t_page=%ED%86%B5%ED%95%A9%EA%B2%80%EC%83%89%EA%B2%B0%EA%B3%BC%ED%8E%98%EC%9D%B4%EC%A7%80&t_click=%EA%B2%80%EC%83%89%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_search_name=%EB%8B%A5%ED%84%B0%EC%A7%80%EB%A0%88%EB%93%9C%EB%B8%94%EB%A0%88%EB%AF%B8%EC%89%AC&t_number=7&dispCatNo=1000001000100130001&trackingCd=Result_7,"전성분 정제수, 편백수, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 나이아신아마이드, 에리스리톨, 펜틸렌글라이콜, 스트렙토코쿠스테르모필루스발효물, 효모발효여과물, 옥수수전분, 사과즙, 백미꽃추출물, 병풀잎추출물(2.1ppm), 비피다발효여과물, 락토바실러스발효물, 병풀꽃/잎/줄기추출물(1.0ppm), 병풀뿌리 추출물(1.0ppm), 접시꽃추출물, 페퍼민트잎수, 병풀추출물(0.02ppm), 판테놀,젤란검, 알란토인, 베타인, 하이드록시아세토페논, 칼슘클로 라이드,소듐클로라이드, 아데노신, 데하이드로잔탄검, 만델릭애씨드, 트레할로오스, 셀룰로오스검, 소듐시트레이트, 메틸다이아이소프로필 프로피온아마이드,세라마이드엔피, 솔비톨, 스테아릭애씨드, 하이 드로제네이티드레시틴,실리카, 에틸헥실글리세린, 다발방패버섯추출물, 베타-글루칸, 마데카소사이드(0.18ppm), 아시아티코사이드(0.002ppm), 마데카식애씨드(0.002ppm), 아시아틱애씨드(0.0008ppm)",시카,medium,,"보습,진정",약산성,,,FALSE,FALSE,none,medium,"glycerin, niacinamide, centella, panthenol, ceramide",fast,good,TRUE,daily,,,,,
,웰라쥬 리얼 히알루로닉 100 토너,x,300ml?,"28,000원",20160,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188874&dispCatNo=9000002&trackingCd=BrandA002258_PROD&t_page=%EB%B8%8C%EB%9E%9C%EB%93%9C%EA%B4%80&t_click=%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=4,"하이드롤라이즈드하이알루로닉애씨드(932601.50052ppm), 글리세린, 프로판다이올, 하이드로제네이티드레시틴, 소듐하이알루로네이트(1.0052ppm), 1,2-헥산다이올, 알지닌, 벤질글라이콜, 베타인, 부틸렌글라이콜, 카프릴릴/카프릭트라이글리세라이드, 시트릭애씨드, 다이메틸실란올하이알루로네이트, 다이소듐이디티에이, 에틸헥실글리세린, 글라이신, 히스티딘, 하이알루로닉애씨드(1.00001ppm), 하이드롤라이즈드글라이코사미노글리칸(0.0056ppm), 하이드롤라이즈드소듐하이알루로네이트(1.5ppm), 하이드록시프로필트라이모늄하이알루로네이트(0.80012ppm), 라이소레시틴, 포타슘하이알루로네이트, 세린, 소듐아세틸레이티드하이알루로네이트(0.400002ppm), 소듐시트레이트, 소듐하이알루로네이트크로스폴리머(0.801ppm), 소듐하이알루로네이트다이메틸실란올, 소듐피씨에이, 소듐스테아로일글루타메이트, 수크로오스라우레이트, 토코페롤, 정제수, 잔탄검","히알루론산, 아미노산",워터,,"보습,진정",약산성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid",medium,fair,FALSE,daily,,,,,
,라네즈 크림 스킨,x,170ml?,"33,000원","26,400원",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211003&dispCatNo=9000002&trackingCd=BrandA002948_PROD&t_page=%EB%B8%8C%EB%9E%9C%EB%93%9C%EA%B4%80&t_click=%EC%A0%84%EC%B2%B4%EC%83%81%ED%92%88_%EC%A0%84%EC%B2%B4_%EC%83%81%ED%92%88%EC%83%81%EC%84%B8&t_number=6,"정제수, 부틸렌글라이콜, 글리세린, 메도우폼씨오일, 아이소펜틸다이올, 1,2-헥산다이올, 스쿠알란, 폴리글리세릴-10스테아레이트, 글리세릴스테아레이트시트레이트, 소듐스테아로일글루타메이트, 이눌린라우릴카바메이트, 글리세릴카프릴레이트, 에틸헥실글리세린, 프로판다이올, 다이소듐이디티에이, 카보머, 만니톨, 아크릴레이트/스테아릴메타크릴레이트코폴리머, 흰목이버섯포자낭과추출물, 하이알루로닉애씨드, 녹차추출물, 잔탄검, 세라마이드엔피, 동백나무꽃추출물, 토코페롤, 아세틸테트라펩타이드-11","피토 펩타이드, 아세틸텝트라 펩타이드-11, 하이드로 크리마이드",워터(밀크),,"보습,장벽,탄력",중성,,,FALSE,FALSE,none,none,"glycerin, hyaluronic_acid, ceramide, peptide, green_tea",medium,fair,FALSE,daily,,,,,
,라보레브 피치 마이크로바이옴 78 피디알엔 토너,미백 보고,125ml,"28,000","22,400",https://www.hwahae.co.kr/goods/73624,"락토바실러스발효용해물(78%), 글리세레스-26, 부틸렌글라이콜, 프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 판테놀, 마이크로크리스탈린셀룰로오스, 베타인, 소듐시트레이트, 폴리글리세릴-10라우레이트, 티우라민, 알란토인, 복숭아추출물(20ppm), 에틸헥실글리세린, 다이프로필렌글라이콜, 폴리글리세릴-4라우레이트, 정제수, 시트릭애씨드, 트라이소듐에틸렌다이아민다이석시네이트, 향료, 하이드롤라이즈드디엔에이(11ppm)","피치바이옴028,PDRN,알란토인,판테놀,베타인,나이아신아마이드",워터,,"장벽,미백,보습",,,,FALSE,TRUE,none,medium,"niacinamide, panthenol",medium,fair,FALSE,daily,,,,,
,인요에 세라마이드 쌀 그리미 밀크 토너,"미백,주름개선",200ml?,"23,000","18,400",https://www.hwahae.co.kr/goods/%EC%9D%B8%EC%9A%94%EC%97%90-%EC%84%B8%EB%9D%BC%EB%A7%88%EC%9D%B4%EB%93%9C-%EC%8C%80-%EA%B7%B8%EB%A6%AC%EB%AF%B8-%EB%B0%80%ED%81%AC-%ED%86%A0%EB%84%88/76266?goods_tab=goods_info,"정제수, 부틸렌글라이콜, 프로판다이올, 글리세린, 나이아신아마이드, 2,3-부탄다이올, 1,2-헥산다이올, 스핑고모나스발효추출물, 백미꽃추출물, 접시꽃추출물, 소이밀크(500ppb), 쌀추출물(300ppb), 다이프로필렌글라이콜, 트라이에틸헥사노인, 다이페닐다이메티콘, 글리세레스-26, 메틸글루세스-20, 펜틸렌글라이콜, 폴리글리세릴-10미리스테이트, 폴리글리세릴10트로폴레이트, 하이드록시아세토페논, C12-14 알케스-12, 하이드롤라이즈드스클레로튬검, 카프릴릭/카프릭트라이글리세라이드, 하이드로제네이티드레시틴, 베타-글루칸, 에틸헥실글리세린, 징크락테이트, 아데노신, 스테아릭애씨드, 판테놀, 세라마이드엔피(55.5ppm), 콜레스테롤, 피토스핑고신, 세라마이드엔지(750ppb), 세라마이드엔스(750ppb), 세라마이드에이피(500ppb), 세라마이드이에스(500ppb), 토코페롤, 세라마이드이오피(1ppb), 세테아릴알코올, 다이소듐이디티에이","세라마이드,",워터(밀크),,"결정동, 미백, 보습",,,,FALSE,FALSE,none,medium,"glycerin, niacinamide, panthenol, ceramide",medium,fair,FALSE,daily,,,,,
,이즈앤트리 초저분자 히알루론산 토너,x,,"21,000원",14700,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000197102,"정제수, 메틸프로판다이올, 1,2-헥산다이올, 해수, 글리세린, 베타인, 알란토인, 부틸렌글라이콜, 카프릴릴글라이콜, 에틸헥실글리세린, 판테놀, 잔탄검, 말라카이트추출물, 다이소듐이디티에이, 하이드롤라이즈드하이알루로닉애씨드, 펜틸렌글라이콜, 자일리틸글루코사이드, 안하이드로자일리톨, 소듐하이알루로네이트, 자일리톨, 포타슘하이알루로네이트, 글루코오스, 다이메틸실란올하이알루로네이트, 소듐아세틸레이티드하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드칼슘하이알루로네이트, 하이알루로닉애씨드, 버지니아풍년화추출물, 소듐설페이티드하이알루로네이트, 편백잎추출물, 소듐스테아로일하이알루로네이트, 소듐올레오일하이알루로네이트",저분자 히알루론산,워터,,보습,중성(예상),,,FALSE,FALSE,low,low,"glycerin, hyaluronic_acid, panthenol, witch_hazel",fast,good,FALSE,daily,,,,,
